🕘️更新时间,#genre#
2025-05-28 08:42:08,http://175.22.226.131:888/hls/1/index.m3u8

央视频道,#genre#
CCTV1,http://175.22.226.131:888/hls/1/index.m3u8
CCTV2,http://175.22.226.131:888/hls/2/index.m3u8
CCTV3,http://175.22.226.131:888/hls/3/index.m3u8
CCTV4,http://175.22.226.131:888/hls/4/index.m3u8
CCTV4欧洲,http://175.22.226.131:888/hls/98/index.m3u8
CCTV4美洲,http://175.22.226.131:888/hls/99/index.m3u8
CCTV4K,http://175.22.226.131:888/hls/19/index.m3u8
CCTV5,http://175.22.226.131:888/hls/5/index.m3u8
CCTV5+,http://175.22.226.131:888/hls/20/index.m3u8
CCTV6,http://175.22.226.131:888/hls/6/index.m3u8
CCTV7,http://175.22.226.131:888/hls/7/index.m3u8
CCTV8,http://175.22.226.131:888/hls/8/index.m3u8
CCTV9,http://175.22.226.131:888/hls/9/index.m3u8
CCTV10,http://175.22.226.131:888/hls/10/index.m3u8
CCTV11,http://175.22.226.131:888/hls/11/index.m3u8
CCTV12,http://175.22.226.131:888/hls/12/index.m3u8
CCTV13,http://175.22.226.131:888/hls/13/index.m3u8
CCTV14,http://175.22.226.131:888/hls/14/index.m3u8
CCTV15,http://175.22.226.131:888/hls/15/index.m3u8
CCTV16,http://175.22.226.131:888/hls/18/index.m3u8
CCTV17,http://175.22.226.131:888/hls/17/index.m3u8
CCTV兵器科技,http://175.22.226.131:888/hls/90/index.m3u8
CCTV第一剧场,http://175.22.226.131:888/hls/83/index.m3u8
CCTV电视指南,http://175.22.226.131:888/hls/96/index.m3u8
CCTV风云剧场,http://175.22.226.131:888/hls/95/index.m3u8
CCTV风云音乐,http://175.22.226.131:888/hls/87/index.m3u8
CCTV风云足球,http://175.22.226.131:888/hls/85/index.m3u8
CCTV高尔夫网球,http://175.22.226.131:888/hls/97/index.m3u8
CCTV怀旧剧场,http://175.22.226.131:888/hls/88/index.m3u8
CCTV女性时尚,http://175.22.226.131:888/hls/81/index.m3u8
CCTV世界地理,http://175.22.226.131:888/hls/84/index.m3u8
CCTV央视台球,http://175.22.226.131:888/hls/86/index.m3u8
CCTV央视文化精品,http://175.22.226.131:888/hls/89/index.m3u8
新影-发现之旅,http://175.22.226.131:888/hls/79/index.m3u8
新影-老故事,http://175.22.226.131:888/hls/80/index.m3u8
新影-中学生,http://175.22.226.131:888/hls/91/index.m3u8

卫视频道,#genre#
安徽卫视,http://175.22.226.131:888/hls/42/index.m3u8
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
安徽卫视,http://j.x.bkpcp.top/jx/ANHUIHD
安徽卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000514/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8
安徽卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226943/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0QmKQ_slRCwvVVUUfxPVbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
北京卫视,http://175.22.226.131:888/hls/34/index.m3u8
北京卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010143
北京卫视,http://z.b.bkpcp.top/m.php?id=bjws
北京卫视,http://j.x.bkpcp.top/jx/BEIJHD
北京卫视,http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ElMQ3ov45VmhzipweN5VstQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPg_yZ8DZHTaSU92MIl_o3b%2CEND
北京卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000516/index.m3u8
北京卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
